	Rate (Mbps)	RTT (ms)	Sent		Lost
1	15.6121	0.976892	1408	15
2	16.8399	1.1429	2854	17
3	16.9831	1.18352	4313	18
4	17.2008	1.20967	5790	18
5	17.1037	0.871859	7259	18
6	16.9755	0.999504	8717	18
7	17.0675	1.25253	10183	18
8	16.9514	0.981432	11639	18
9	16.9567	0.980616	13095	18
10	16.9797	0.919972	14553	18
11	16.9046	0.9188	16005	18
12	16.7056	0.989471	17440	18
13	16.8577	0.967489	18888	18
14	16.7184	1.01964	20324	18
15	16.8865	0.955325	21774	18
16	17.2127	1.14488	23252	18
17	17.0847	0.878574	24719	18
18	16.5838	0.969787	26143	18
19	16.5677	0.987563	27566	18
20	16.4967	0.984758	28983	18
21	16.4385	1.01293	30395	18
22	16.525	1.03598	31814	18
23	16.298	0.878669	33214	18
24	16.7283	1.03663	34651	18
25	16.719	0.936703	36087	18
26	16.7768	1.02387	37528	18
27	16.451	1.00057	38941	18
28	17.0878	1.00333	40409	18
29	16.4742	1.02328	41824	18
30	18.5015	1.0269	43413	18
31	16.7413	1.14013	44851	18
32	17.0903	1.04753	46319	18
33	17.0791	1.02021	47786	18
34	16.8004	1.15445	49229	18
35	17.0555	0.918564	50694	18
36	17.7069	1.14529	52215	18
37	17.364	0.931194	53706	18
38	17.1487	0.926599	55179	18
39	17.0329	1.18746	56642	18
40	17.398	1.02535	58136	18
41	17.4511	1.18188	59635	18
42	17.1732	1.04874	61110	18
43	17.5199	0.994774	62615	18
44	17.5036	1.07404	64118	18
45	18.1846	1.03793	65680	18
46	16.7888	0.95975	67122	18
47	16.6715	1.03976	68554	18
48	16.7892	1.04586	69996	18
